zipCode,CountyName,month,zori
95037,Santa Clara County,2021-05,3076.006171989073
95060,Santa Cruz County,2021-05,2608.073398607514
95050,Santa Clara County,2021-05,2654.0277996286477
93940,Monterey County,2021-05,2023.6921983396123
95032,Santa Clara County,2021-05,3321.6567713889403
90291,Los Angeles County,2021-05,3064.823520840403
93950,Monterey County,2021-05,2374.242166562801
93906,Monterey County,2021-06,1831.0207105573847
95037,Santa Clara County,2021-06,3108.074555597122
95060,Santa Cruz County,2021-06,2653.8117869860803
95050,Santa Clara County,2021-06,2677.5891662884064
93940,Monterey County,2021-06,2049.1066551347135
95032,Santa Clara County,2021-06,3384.8715672642043
90291,Los Angeles County,2021-06,3076.7053183702815
93950,Monterey County,2021-06,2337.3884649717725
93906,Monterey County,2021-07,1860.7357007063229
95037,Santa Clara County,2021-07,3130.0273076848657
95060,Santa Cruz County,2021-07,2697.678212125995
95050,Santa Clara County,2021-07,2698.558053816685
93940,Monterey County,2021-07,2089.407592740779
95032,Santa Clara County,2021-07,3382.3942299901223
90291,Los Angeles County,2021-07,3090.20121810488
93950,Monterey County,2021-07,2371.1697018780383
93906,Monterey County,2021-08,1875.3307300128704
95037,Santa Clara County,2021-08,3144.2275036761557
95060,Santa Cruz County,2021-08,2817.3823400358156
95050,Santa Clara County,2021-08,2759.1977921100856
93940,Monterey County,2021-08,2124.4195204992884
95032,Santa Clara County,2021-08,3424.6791142096104
90291,Los Angeles County,2021-08,3148.532838240546
93950,Monterey County,2021-08,2397.1882511445924
93906,Monterey County,2021-09,1938.9234306359876
95037,Santa Clara County,2021-09,3170.2792800573034
95060,Santa Cruz County,2021-09,2890.295401691033
95050,Santa Clara County,2021-09,2786.6670184307286
93940,Monterey County,2021-09,2154.0486306460757
95032,Santa Clara County,2021-09,3424.909240342294
90291,Los Angeles County,2021-09,3178.304498926966
93950,Monterey County,2021-09,2452.6059699343837
93906,Monterey County,2021-10,1960.9996193457116
95037,Santa Clara County,2021-10,3235.419242689701
95060,Santa Cruz County,2021-10,2974.173689210667
95050,Santa Clara County,2021-10,2828.77822097296
95062,Santa Cruz County,2021-10,2956.135506995882
93940,Monterey County,2021-10,2159.1991437168435
95032,Santa Clara County,2021-10,3458.4788460497684
90291,Los Angeles County,2021-10,3202.919457205417
93950,Monterey County,2021-10,2477.354685781539
93906,Monterey County,2021-11,1973.87204512628
95037,Santa Clara County,2021-11,3269.6188238233626
95060,Santa Cruz County,2021-11,2946.81359786693
95050,Santa Clara County,2021-11,2801.2096682422653
95062,Santa Cruz County,2021-11,2905.6309761417247
93940,Monterey County,2021-11,2137.371769905698
95032,Santa Clara County,2021-11,3477.6184149283768
90291,Los Angeles County,2021-11,3247.890523806427
93950,Monterey County,2021-11,2482.2123326288192
