GEOID,tract_median_hh_income,tract_median_gross_rent,tract_pct_renter,tract_pop_density_sqmi,tract_population
06085503338,250001.0,3501.0,0.04814189189189189,1094.3255509660657,3972.0
06085503339,250001.0,3501.0,0.06370967741935483,2641.65113034243,3827.0
06085503401,111576.0,3501.0,0.28017718715393136,11690.4282219038,4073.0
06085503402,79306.0,2041.0,0.567,15211.051437565366,4279.0
06085503504,139180.0,3501.0,0.37023914968999116,12761.110295054896,5526.0
06085503506,101146.0,2813.0,0.44389027431421446,16112.062293232519,6220.0
06085503507,168716.0,2563.0,0.2583732057416268,15265.064181201888,2290.0
06085503508,125469.0,2463.0,0.3092698933552092,15360.443458166688,5979.0
06085503509,151786.0,3501.0,0.22989949748743718,9580.116546892643,3990.0
06085503510,135926.0,2590.0,0.39019963702359345,10706.657582202894,4270.0
06085503511,125972.0,3200.0,0.23506988564167725,11120.105349383291,3560.0
06085503601,98021.0,2126.0,0.6205405405405405,6650.891449587012,3524.0
06085503602,98611.0,2145.0,0.4795275590551181,10323.831732584516,4876.0
06085503703,105455.0,2143.0,0.5336426914153132,15254.552284524807,3858.0
06085503707,109000.0,2793.0,0.5059523809523809,,4665.0
06085503708,103446.0,1810.0,0.41690962099125367,,2530.0
06085503709,78089.0,1745.0,0.6814609338881183,,5862.0
06085503710,43125.0,1270.0,0.8107344632768362,13120.777728167805,3046.0
06085503711,109167.0,2260.0,0.49292929292929294,10788.242726434062,4023.0
06085503712,50612.0,1646.0,0.7678571428571429,,3770.0
06085503713,68636.0,2072.0,0.749534450651769,,3082.0
06085503802,114023.0,2736.0,0.45737944471505115,,7647.0
06085503803,190855.0,3501.0,0.31184528605962936,,5388.0
06085503804,141289.0,2818.0,0.4152859433458044,,6231.0
06085503902,121083.0,2379.0,0.43272481406355645,,6187.0
06085503903,131806.0,2133.0,0.4663402692778458,,2911.0
06085504001,87364.0,2335.0,0.46921017402945114,,4873.0
06085504002,92091.0,2534.0,0.38533429187634793,16089.672598995672,6376.0
06085504101,144167.0,2485.0,0.2355864811133201,,3628.0
06085504102,156450.0,3501.0,0.23377638780297108,,5273.0
06085504201,197750.0,3243.0,0.19908466819221968,,6020.0
06085504202,229028.0,3116.0,0.11215686274509803,,4151.0
06085504307,154801.0,2717.0,0.2397223705285638,,5716.0
06085504308,212941.0,2854.0,0.1858108108108108,,4898.0
06085504311,173106.0,3226.0,0.4829372333942718,,8850.0
06085504314,210357.0,3343.0,0.18365817091454273,,4425.0
06085504315,182784.0,3501.0,0.1974766867800329,,6475.0
06085504316,192188.0,3449.0,0.23994546693933197,,5403.0
06085504317,180859.0,3501.0,0.24597918637653737,,3639.0
06085504318,106535.0,2275.0,0.23380281690140844,,7989.0
06085504319,227279.0,2921.0,0.22182920667003536,,5980.0
06085504320,183571.0,3501.0,0.22747747747747749,,2990.0
06085504321,189867.0,2976.0,0.29568302779420463,,5556.0
06085504322,167583.0,3273.0,0.6336633663366337,,5285.0
06085504323,161552.0,3074.0,0.4514038876889849,,5814.0
06085504410,153523.0,2077.0,0.3311421528348398,,3960.0
06085504411,166354.0,3381.0,0.26411543287327477,,5553.0
06085504412,149659.0,2360.0,0.421505376344086,,4928.0
06085504413,155982.0,1490.0,0.40215924426450744,,1963.0
06085504414,165761.0,3501.0,0.3274285714285714,,5141.0
06085504415,213654.0,3501.0,0.15746971736204576,,4885.0
06085504416,190981.0,3273.0,0.2989778534923339,,3791.0
06085504418,116310.0,2546.0,0.429701230228471,,3951.0
06085504421,172500.0,3501.0,0.19788918205804748,,5422.0
06085504422,141111.0,2225.0,0.3700873362445415,,3440.0
06085504423,181250.0,3501.0,0.2619047619047619,,2101.0
06085504424,153333.0,2892.0,0.3815286624203822,,4974.0
06085504505,229572.0,3501.0,0.5862932604735883,,11610.0
06085504506,164879.0,3036.0,0.4276401564537158,,7188.0
06085504507,163724.0,2869.0,0.32872596153846156,,6052.0
06085504508,186083.0,3229.0,0.35596026490066224,,3862.0
06085504509,181165.0,3090.0,0.5843720038350911,,4921.0
06085504510,159186.0,2915.0,0.5074525745257452,,3900.0
06085504601,74250.0,2765.0,0.33948339483394835,,1212.0
06085504602,121953.0,2107.0,0.2667946257197697,,1542.0
06085504700,194917.0,3501.0,1.0,,845.0
06085504802,116525.0,2817.0,0.2833530106257379,,4506.0
06085504805,149207.0,3165.0,0.4212874442319949,,7409.0
06085504806,158750.0,3501.0,0.33292978208232443,,2753.0
06085504807,230829.0,3484.0,0.6573719065876612,,5920.0
06085504808,117054.0,1813.0,0.5513748191027497,,2111.0
06085504902,196797.0,3364.0,0.6616583194212576,,4410.0
